1687242625601,-3.8500212099791513,1.09495,0.0962888213659222,359.983,87.437412,1.01962,-3.511508421777068,0.679133,0.0480840205276405,1.60188,84.17319999999995,352.781,-3.5782796212468693,0.713041,0.2258650797004726,7.81041,89.25327999999999,9.60914
1687242625656,-3.816631674146232,1.09511,0.0975499148190812,359.893,87.42801299999999,1.0383,-3.478192418746539,0.679147,0.0492799534139483,1.63004,84.15919999999994,352.807,-3.544751036400334,0.71294,0.2270535472332384,7.92465,89.25545,9.78772
1687242625712,-3.783061027208323,1.09557,0.0986644650402383,359.632,87.445483,1.07184,-3.444690015460114,0.679287,0.0505028803693818,1.59265,84.14520000000005,352.834,-3.511209271549436,0.71299,0.2282482843457807,7.87254,89.28957,9.7827
1687242625768,-3.750128257435395,1.09592,0.0998800404965623,359.513,87.429204,1.11697,-3.4113859827513644,0.679248,0.0514713700210036,1.63677,84.16420000000005,352.829,-3.477966704027209,0.71298,0.229610129651799,7.8354,89.28414,10.0664
1687242625824,-3.7172254528855295,1.0963,0.1010736671822996,359.321,87.3738446,1.14649,-3.3779582017991063,0.679344,0.0524190816260101,1.62812,84.2002,352.841,-3.4445239381730874,0.713015,0.2306440364580416,7.86255,89.26388,9.972
1687242625879,-3.684288287344204,1.09688,0.102352074721514,359.026,87.26019999999994,1.23833,-3.344548357552052,0.679361,0.0534973381153869,1.65483,84.1902,352.84,-3.411381119176064,0.71315,0.2320586718496196,7.74273,89.22891,10.2695
1687242625936,-3.650920037414394,1.0974,0.1037392756980451,358.766,87.10720000000003,1.20882,-3.3108016913499005,0.679385,0.0547775912273912,1.62408,84.14919999999995,352.863,-3.3775909581074663,0.7132,0.2331369382378205,7.72785,89.25439999999999,10.1747
1687242625991,-3.618364389020213,1.09776,0.1049962536486201,358.611,87.00819999999999,1.21381,-3.277734219327165,0.679463,0.0559113431898245,1.6166,84.16319999999996,352.866,-3.3446578880150453,0.71328,0.2343402801501585,7.6238,89.21421,10.2373
1687242626046,-3.585744883349797,1.09812,0.1061454588285968,358.417,86.99220000000003,1.21343,-3.2446167375337462,0.679524,0.056942290146751,1.63535,84.20820000000003,352.845,-3.311591078472594,0.713341,0.2354057949097611,7.6573,89.22400999999999,10.1727
1687242626102,-3.5526730265472235,1.09837,0.1072275900497339,358.264,86.9982,1.19967,-3.2112445982933404,0.679676,0.0580959643894167,1.60097,84.18420000000003,352.823,-3.2782515336205704,0.713399,0.2365500343314957,7.61942,89.19717999999999,10.1731
