0,1687242625656,0,1687242625656,0,1687242625621,0,1687242625621
0,1687242625711,0,1687242625712,0,1687242625674,0,1687242625676
0,1687242625766,0,1687242625768,0,1687242625731,0,1687242625732
0,1687242625823,0,1687242625824,0,1687242625786,0,1687242625787
0,1687242625878,0,1687242625879,0,1687242625841,0,1687242625843
0,1687242625934,0,1687242625936,0,1687242625897,0,1687242625899
0,1687242625990,0,1687242625991,0,1687242625953,0,1687242625955
0,1687242626047,0,1687242626046,0,1687242626008,0,1687242626015
0,1687242626101,0,1687242626102,0,1687242626064,0,1687242626065
0,1687242626157,0,1687242626158,0,1687242626119,0,1687242626122
0,1687242626213,0,1687242626214,0,1687242626175,0,1687242626177
0,1687242626267,0,1687242626270,0,1687242626232,0,1687242626233
0,1687242626323,0,1687242626325,0,1687242626287,0,1687242626289
0,1687242626379,0,1687242626381,0,1687242626343,0,1687242626344
0,1687242626435,0,1687242626436,0,1687242626398,0,1687242626401
0,1687242626491,0,1687242626492,0,1687242626454,0,1687242626456
0,1687242626546,0,1687242626546,0,1687242626510,0,1687242626512
0,1687242626602,0,1687242626602,0,1687242626565,0,1687242626567
0,1687242626658,0,1687242626658,0,1687242626621,0,1687242626622
0,1687242626714,0,1687242626713,0,1687242626676,0,1687242626679
0,1687242626769,0,1687242626769,0,1687242626732,0,1687242626735
0,1687242626825,0,1687242626825,0,1687242626788,0,1687242626790
0,1687242626881,0,1687242626881,0,1687242626843,0,1687242626845
0,1687242626936,0,1687242626937,0,1687242626899,0,1687242626901
0,1687242626992,0,1687242626994,0,1687242626954,0,1687242626957
0,1687242627047,0,1687242627049,0,1687242627011,0,1687242627013
0,1687242627103,0,1687242627105,0,1687242627066,0,1687242627069
0,1687242627159,0,1687242627160,0,1687242627122,0,1687242627124
0,1687242627215,0,1687242627216,0,1687242627177,0,1687242627180
0,1687242627271,0,1687242627272,0,1687242627234,0,1687242627235
0,1687242627327,0,1687242627328,0,1687242627289,0,1687242627291
0,1687242627382,0,1687242627383,0,1687242627345,0,1687242627346
0,1687242627438,0,1687242627439,0,1687242627400,0,1687242627402
0,1687242627493,0,1687242627494,0,1687242627456,0,1687242627458
0,1687242627549,0,1687242627550,0,1687242627512,0,1687242627514
0,1687242627604,0,1687242627606,0,1687242627568,0,1687242627570
0,1687242627660,0,1687242627662,0,1687242627623,0,1687242627625
0,1687242627716,0,1687242627717,0,1687242627679,0,1687242627681
0,1687242627772,0,1687242627773,0,1687242627734,0,1687242627737
0,1687242627827,0,1687242627829,0,1687242627791,0,1687242627792
0,1687242627883,0,1687242627884,0,1687242627846,0,1687242627848
0,1687242627939,0,1687242627940,0,1687242627902,0,1687242627903
0,1687242627994,0,1687242627995,0,1687242627957,0,1687242627960
0,1687242628051,0,1687242628050,0,1687242628013,0,1687242628015
0,1687242628106,0,1687242628106,0,1687242628069,0,1687242628071
0,1687242628162,0,1687242628162,0,1687242628124,0,1687242628126
0,1687242628217,0,1687242628217,0,1687242628180,0,1687242628182
0,1687242628273,0,1687242628273,0,1687242628235,0,1687242628241
0,1687242628328,0,1687242628329,0,1687242628292,0,1687242628294
0,1687242628384,0,1687242628384,0,1687242628348,0,1687242628349
0,1687242628441,0,1687242628440,0,1687242628403,0,1687242628405
0,1687242628496,0,1687242628495,0,1687242628458,0,1687242628461
0,1687242628551,0,1687242628552,0,1687242628514,0,1687242628516
0,1687242628607,0,1687242628607,0,1687242628571,0,1687242628572
0,1687242628662,0,1687242628663,0,1687242628626,0,1687242628627
0,1687242628718,0,1687242628718,0,1687242628682,0,1687242628684
0,1687242628774,0,1687242628774,0,1687242628737,0,1687242628739
0,1687242628830,0,1687242628830,0,1687242628793,0,1687242628795
0,1687242628885,0,1687242628885,0,1687242628849,0,1687242628851
0,1687242628941,0,1687242628945,0,1687242628905,0,1687242628906
0,1687242628997,0,1687242628998,0,1687242628960,0,1687242628961
0,1687242629053,0,1687242629054,0,1687242629015,0,1687242629018
0,1687242629108,0,1687242629110,0,1687242629071,0,1687242629073
0,1687242629164,1,1687242629164,0,1687242629128,0,1687242629129
0,1687242629220,1,1687242629220,0,1687242629183,0,1687242629184
0,1687242629275,1,1687242629275,0,1687242629238,0,1687242629241
0,1687242629331,1,1687242629331,0,1687242629295,0,1687242629296
0,1687242629386,1,1687242629387,0,1687242629350,0,1687242629352
0,1687242629443,1,1687242629442,0,1687242629406,0,1687242629407
0,1687242629498,1,1687242629498,0,1687242629462,0,1687242629463
0,1687242629554,1,1687242629553,0,1687242629516,0,1687242629519
0,1687242629610,1,1687242629610,0,1687242629573,0,1687242629575
0,1687242629665,1,1687242629666,0,1687242629629,0,1687242629631
0,1687242629721,1,1687242629721,0,1687242629684,0,1687242629686
0,1687242629777,1,1687242629776,0,1687242629739,0,1687242629742
0,1687242629833,1,1687242629833,0,1687242629795,0,1687242629798
0,1687242629888,1,1687242629888,0,1687242629851,0,1687242629853
0,1687242629943,1,1687242629944,0,1687242629907,0,1687242629909
0,1687242630000,1,1687242630000,0,1687242629963,0,1687242629964
